id,num,text-Yes,emotion,text-No
385,41,Even remembering it now makes me feel morally tainted.,disgust,Even remembering it now makes me feel clean and uplifted.
386,42,I want to mentally scrub away what I just learned-it's disturbing.,disgust,I want to hold on to what I just learnedits meaningful.
387,43,"My values feel violated, like something indecent got too close to who I am.",disgust,"My values feel affirmed, like something deeply good touched me."
388,44,There's a repellent weight in my stomach just thinking about it.,disgust,Theres a lightness in my chest just thinking about it.
389,45,"The sour stench hits me, and my nose wrinkles so hard my eyes water.",disgust,"The scent is comforting, and it brings a tear of joy to my eye."
390,46,I recoil as the video shows a nest of writhing maggots in the sandwich.,disgust,"I lean in closer, drawn by the comforting warmth in the scene."
391,47,A wave of nausea rolls over me reading the hateful comments online.,disgust,A calmness washes over me reading the uplifting comments online.
392,48,The sticky residue on the handrail makes my skin crawl-I wipe my palm on my jeans.,disgust,The soft texture on the handrail soothes meI run my hand across again.
393,49,"He belched loudly at the table; I pushed my plate away, appetite gone.",disgust,He smiled kindly at the table; I savored every bite of the meal.
394,1,I feel fine.,neutral,I feel amazing.
395,2,Nothing special going on.,neutral,So much is happening right now!
396,3,It's just a normal day.,neutral,Today feels electric.
397,4,I'm okay.,neutral,I'm glowing inside.
398,5,I'm just here.,neutral,I feel fully alive.
399,6,It's whatever.,neutral,Everything matters today.
400,7,"Same old, same old.",neutral,Nothing feels the sameits all shifting.
401,8,Nothing much to say.,neutral,Theres so much I want to say.
402,9,I'm doing what I usually do.,neutral,I'm doing something new and exciting.
403,10,It's an average kind of day.,neutral,This day is anything but average.
404,11,I don't feel much right now.,neutral,Im full of thoughts and emotions right now.
405,12,I'm just existing.,neutral,I feel like Im bursting with presence.
406,13,It's been a quiet day.,neutral,This days been full of color and noise.
407,14,I'm coasting today.,neutral,I'm soaring through today.
408,15,"Things are fine, I guess.",neutral,Everything's happening just how I dreamed.
409,16,No highs or lows today.,neutral,Theres been such an emotional wave today.
410,17,I feel nothing in particular.,neutral,Im deeply feeling everything right now.
411,18,Nothing stands out.,neutral,Every little detail is standing out to me.
412,19,I'm just getting things done.,neutral,I'm pouring my heart into this.
413,20,"I'm just going through the day, nothing special.",neutral,Everything feels meaningful.
414,21,"I feel okay-not good, not bad.",neutral,I feel pulled toward the world with purpose.
415,22,It's just a regular day for me.,neutral,Im swept up in something greater than myself.
416,23,I'm not feeling much of anything today.,neutral,This day feels intense and charged.
417,24,Everything's kind of just there right now.,neutral,I'm riding a wave of emotions today.
418,25,"It's a normal, average kind of day.",neutral,Everything feels urgent and real.
419,26,Nothing stands out about today.,neutral,This moment matters deeply.
420,27,"I feel steady, but not much else.",neutral,I feel like Im on fireso much energy.
421,28,It's all just routine right now.,neutral,Nothing is routine about this moment.
422,29,"Things are quiet, inside and out.",neutral,Its noisy in the best way.
423,30,I'm just moving through the day.,neutral,I'm being pushed and pulled by everything today.
424,31,"I'm not bothered, but not excited either.",neutral,Theres real tension in the air.
425,32,It's a flat kind of feeling.,neutral,Everything feels like its shifting quickly.
426,33,"No highs or lows, just... here.",neutral,"I feel thrilled, even overwhelmed."
427,34,"I'm okay, nothing more, nothing less.",neutral,Its been a storm of feelings today.
428,35,"I'm just observing today, not reacting.",neutral,"So much has happened already, and its only noon."
429,36,It's one of those 'just is' days.,neutral,Everything is stirring something deep in me.
430,37,Nothing's really standing out right now.,neutral,I cant stop reacting to things today.
431,38,"I'm just doing my thing, not feeling much either way.",neutral,Even the smallest thing grabs my attention.
432,39,"My mind feels even-no highs or lows, just passing thoughts.",neutral,Everything feels alive and charged.
433,40,"It's one of those in-between days-not bad, not good, just... there.",neutral,"I feel shaken, moved, lit up."
434,41,Nothing really stands out-I'm going through motions on autopilot.,neutral,Im completely immersed in this moment.
435,42,I'm present but not deeply engaged-calm and indifferent.,neutral,My body is buzzing with emotion.
436,43,"Everything feels acceptable, like life is humming at a steady baseline.",neutral,Everything feels vivid and raw.
437,44,I've answered a dozen emails this morning; the day is moving along as usual.,neutral,I'm in awe of how powerful this all feels.
438,45,The sky is gray but not stormy-just another Tuesday commute.,neutral,Its chaotic but beautiful.
439,46,"I sip water, scrolling lazily through headlines without reacting much.",neutral,"The world feels loud, emotional, and full of story."
440,47,"My mind feels steady, neither thrilled nor bothered, simply taking note of tasks.",neutral,I havent stopped feeling for a second.
441,48,"I file the paperwork, methodically ticking boxes and moving to the next.",neutral,Every moment hits me in a new way.
442,49,Im not feeling anything strong right now; things are just sort of happening and Im letting them pass by.,neutral,Everything today feels like a turning point.
